JD,alt
2459690.24114583,416.715
2459690.2412037,416.759
2459690.24126157,416.805
2459690.24131944,416.85
2459690.24137732,416.899
2459690.24143518,416.945
2459690.24149306,416.99
2459690.24155093,417.035
2459690.2416088,417.083
2459690.24166667,417.128
2459690.24172454,417.173
2459690.24178241,417.218
2459690.24185185,417.265
2459690.24190972,417.31
2459690.24196759,417.355
2459690.24202546,417.399
2459690.24208333,417.446
2459690.2421412,417.491
2459690.24219907,417.535
2459690.24225694,417.579
2459690.24231481,417.625
2459690.24237269,417.668
2459690.24243056,417.712
2459690.24248843,417.755
2459690.24255787,417.801
2459690.24261574,417.844
2459690.24267361,417.887
2459690.24273148,417.929
2459690.24278935,417.974
2459690.24284722,418.016
2459690.24290509,418.058
2459690.24296296,418.1
2459690.24302083,418.146
2459690.2430787,418.187
2459690.24313657,418.228
2459690.24319444,418.269
2459690.24326389,418.314
2459690.24332176,418.354
2459690.24337963,418.394
2459690.2434375,418.434
2459690.24350694,418.479
2459690.24356481,418.519
2459690.24362269,418.557
2459690.24368056,418.596
2459690.24373843,418.64
2459690.2437963,418.678
2459690.24385417,418.716
2459690.24391204,418.753
2459690.24398148,418.796
2459690.24403935,418.833
2459690.24409722,418.869
2459690.24415509,418.905
2459690.24422454,418.946
2459690.24428241,418.981
2459690.24434028,419.016
2459690.24439815,419.051
2459690.24446759,419.09
2459690.24452546,419.124
2459690.24458333,419.158
2459690.2446412,419.191
2459690.24469907,419.23
2459690.24475694,419.263
2459690.24481481,419.295
2459690.24487268,419.327
2459690.24494213,419.361
2459690.245,419.392
2459690.24505787,419.423
2459690.24511574,419.453
2459690.24518519,419.487
2459690.24524306,419.516
2459690.24530093,419.545
2459690.2453588,419.574
2459690.24541667,419.605
2459690.24547454,419.633
2459690.24553241,419.66
2459690.24559028,419.687
2459690.24565972,419.716
2459690.24571759,419.742
2459690.24577546,419.768
2459690.24583333,419.793
2459690.2458912,419.82
2459690.24594907,419.844
2459690.24600694,419.868
2459690.24606481,419.891
2459690.24613426,419.916
2459690.24619213,419.939
2459690.24625,419.961
2459690.24630787,419.982
2459690.24636574,420.004
2459690.24642361,420.025
2459690.24648148,420.045
2459690.24653935,420.065
2459690.24659722,420.086
2459690.24665509,420.104
2459690.24671296,420.123
2459690.24677083,420.141
2459690.24684028,420.161
2459690.24689815,420.177
2459690.24695602,420.194
2459690.24701389,420.21
2459690.24708333,420.228
2459690.2471412,420.243
2459690.24719907,420.258
2459690.24725694,420.272
2459690.24731481,420.287
2459690.24737269,420.3
2459690.24743056,420.313
2459690.24748843,420.325
2459690.24755787,420.338
2459690.24761574,420.35
2459690.24767361,420.361
2459690.24773148,420.371
2459690.24778935,420.382
2459690.24784722,420.391
2459690.24790509,420.4
2459690.24796296,420.409
2459690.24803241,420.418
2459690.24809028,420.426
2459690.24814815,420.433
2459690.24820602,420.439
2459690.24827546,420.446
2459690.24833333,420.452
2459690.2483912,420.457
2459690.24844907,420.462
2459690.24851852,420.467
2459690.24857639,420.471
2459690.24863426,420.474
2459690.24869213,420.477
2459690.24876157,420.48
2459690.24881944,420.482
2459690.24887731,420.483
2459690.24893519,420.484
2459690.24900463,420.485
2459690.2490625,420.485
2459690.24912037,420.485
2459690.24917824,420.484
2459690.24924768,420.482
2459690.24930556,420.481
2459690.24936343,420.478
2459690.2494213,420.476
2459690.24949074,420.472
2459690.24954861,420.469
2459690.24960648,420.465
2459690.24966435,420.461
2459690.2497338,420.455
2459690.24979167,420.45
2459690.24984954,420.444
2459690.24990741,420.438
2459690.24997685,420.431
2459690.25003472,420.424
2459690.25009259,420.417
2459690.25015046,420.409
2459690.25021991,420.4
2459690.25027778,420.392
2459690.25033565,420.383
2459690.25039352,420.374
2459690.25046296,420.362
2459690.25052083,420.352
2459690.2505787,420.342
2459690.25063657,420.332
2459690.25070602,420.318
2459690.25076389,420.307
