JD	humidity		sunlit
2459690.36534722	46.64		True
2459690.36528935	46.65		True
2459690.36523148	46.61		True
2459690.36517361	46.39		True
2459690.36511574	46.55		True
2459690.36505787	46.56		True
2459690.36494213	46.76		True
2459690.36488426	46.64		True
2459690.36482639	46.77		True
2459690.36476852	46.83		True
2459690.36471065	46.71		True
2459690.36465278	46.53		True
2459690.36459491	46.52		True
2459690.36453704	46.67		True
2459690.36447917	46.59		True
2459690.3644213	46.57		True
2459690.36436343	46.42		True
2459690.36430556	46.7		True
2459690.36424769	46.68		True
2459690.36418981	46.62		True
2459690.36413194	46.3		True
2459690.36407407	46.74		True
2459690.3640162	46.49		True
2459690.36395833	46.53		True
2459690.36390046	46.68		True
2459690.36384259	46.4		True
2459690.36378472	46.47		True
2459690.36372685	46.69		True
2459690.36366898	46.65		False
2459690.36361111	46.7		False
2459690.36355324	46.42		False
2459690.36349537	46.73		False
2459690.3634375	46.49		False
2459690.36337963	46.59		False
2459690.36332176	46.69		False
2459690.36326389	46.39		False
2459690.36320602	46.74		False
2459690.36314815	46.58		False
2459690.36309028	46.69		False
2459690.36303241	46.54		False
2459690.36297454	46.53		False
2459690.36291667	46.52		False
2459690.3628588	46.55		False
2459690.36280093	46.73		False
2459690.36274306	46.91		False
2459690.36268519	46.73		False
2459690.36262731	46.8		False
2459690.36256944	46.81		False
2459690.36251157	46.47		False
2459690.3624537	46.45		False
2459690.36239583	46.65		False
2459690.36233796	46.68		False
2459690.36228009	46.42		False
2459690.36222222	46.43		False
2459690.36216435	46.41		False
2459690.36210648	46.5		False
2459690.36204861	46.61		False
2459690.36199074	46.68		False
2459690.36193287	46.63		False
2459690.361875	46.59		False
2459690.36181713	46.78		False
2459690.36175926	46.96		False
2459690.36170139	46.84		False
2459690.36164352	46.68		False
2459690.36158565	46.67		False
2459690.36152778	46.51		False
2459690.36146991	46.58		False
2459690.36141204	46.95		False
2459690.36135417	46.78		False
2459690.3612963	46.48		False
2459690.36123843	46.61		False
2459690.36118056	46.87		False
2459690.36112268	46.49		False
2459690.36106481	46.6		False
2459690.36100694	46.47		False
2459690.36094907	46.79		False
2459690.3608912	46.51		False
2459690.36083333	46.41		False
2459690.36077546	46.62		False
2459690.36071759	46.5		False
2459690.36065972	46.69		False
2459690.36060185	46.68		False
2459690.36054398	46.83		False
2459690.36048611	46.75		False
2459690.36042824	46.7		False
2459690.36037037	46.55		False
2459690.3603125	46.69		False
2459690.36025463	46.71		False
2459690.36019676	46.61		False
2459690.36013889	46.73		False
2459690.36008102	46.42		False
2459690.36002315	46.62		False
2459690.35996528	46.68		False
2459690.35990741	46.42		False
2459690.35984954	46.39		False
2459690.35979167	46.7		False
2459690.3597338	46.72		False
2459690.35967593	46.44		False
2459690.35961806	46.71		False
2459690.35956018	46.66		False
2459690.35950231	46.59		False
2459690.35944444	46.8		False
2459690.35938657	46.79		False
2459690.3593287	46.59		False
2459690.35927083	46.66		False
2459690.35921296	46.37		False
2459690.35915509	46.68		False
2459690.35909722	46.51		False
2459690.35903935	46.53		False
2459690.35898148	46.65		False
2459690.35892361	46.54		False
2459690.35886574	46.67		False
2459690.35880787	46.58		False
2459690.35875	46.57		False
2459690.35869213	46.78		False
2459690.35863426	46.51		False
2459690.35857639	46.61		False
2459690.35851852	46.47		False
2459690.35846065	46.83		False
2459690.35840278	46.58		False
2459690.35834491	46.62		False
2459690.35828704	46.6		False
2459690.35822917	46.75		False
2459690.3581713	46.56		False
2459690.35811343	46.53		False
2459690.35805556	46.47		False
2459690.35799768	46.54		False
2459690.35793981	46.42		False
2459690.35788194	46.32		False
2459690.35782407	46.48		False
2459690.3577662	46.81		False
2459690.35770833	46.62		False
2459690.35765046	46.77		False
2459690.35759259	46.45		False
2459690.35753472	46.65		False
2459690.35747685	46.72		False
2459690.35741898	46.52		False
2459690.35736111	46.58		False
2459690.35730324	46.59		False
2459690.35724537	46.52		False
2459690.3571875	46.32		False
2459690.35712963	46.51		False
2459690.35707176	46.53		False
2459690.35701389	46.55		False
2459690.35695602	46.38		False
2459690.35689815	46.39		False
2459690.35684028	46.58		False
2459690.35678241	46.49		False
2459690.35672454	46.56		False
2459690.35666667	47.79		False
2459690.3566088	46.53		False
2459690.35655093	46.53		False
2459690.35649306	46.57		False
2459690.35643518	46.59		False
2459690.35637731	46.44		False
2459690.35631944	46.46		False
2459690.35626157	46.51		False
2459690.3562037	46.58		False
2459690.35614583	46.49		False
2459690.35608796	46.46		False
2459690.35603009	46.87		False
2459690.35597222	46.63		False
2459690.35591435	46.59		False
2459690.35585648	46.52		False
2459690.35579861	46.48		False
2459690.35574074	46.65		False
2459690.35568287	46.74		False
2459690.355625	46.42		False
2459690.35556713	46.43		False
2459690.35550926	46.6		False
2459690.35545139	46.42		False
2459690.35539352	46.45		False
2459690.35533565	46.46		False
2459690.35527778	46.52		False
2459690.35521991	46.53		False
2459690.35516204	46.59		False
2459690.35510417	46.57		False
2459690.3550463	46.51		False
2459690.35498843	46.45		False
2459690.35493056	46.6		False
2459690.35487269	46.27		False
2459690.35481481	46.31		False
2459690.35475694	46.42		False
2459690.35469907	46.6		False
2459690.3546412	46.6		False
2459690.35458333	46.48		False
2459690.35452546	46.67		False
2459690.35446759	46.6		False
2459690.35440972	46.57		False
2459690.35435185	46.26		False
2459690.35429398	46.36		False
2459690.35423611	46.22		False
2459690.35417824	46.65		False
2459690.35412037	46.59		False
2459690.3540625	46.63		False
2459690.35400463	46.62		False
2459690.35394676	46.65		False
2459690.35388889	46.5		False
2459690.35383102	46.67		False
2459690.35377315	46.55		False
2459690.35371528	46.4		False
2459690.35365741	46.55		False
2459690.35359954	46.75		False
2459690.35354167	46.62		False
2459690.3534838	46.42		False
2459690.35342593	46.66		False
2459690.35336806	46.76		False
2459690.35331018	46.65		False
2459690.35325231	46.79		False
2459690.35319444	46.25		False
2459690.35313657	46.42		False
2459690.3530787	46.65		False
2459690.35302083	46.5		False
2459690.35296296	46.46		False
2459690.35290509	46.69		False
2459690.35284722	46.73		False
2459690.35278935	46.52		False
2459690.35273148	46.45		False
2459690.35267361	46.35		False
2459690.35261574	46.47		False
2459690.35255787	46.49		False
2459690.3525	46.59		False
2459690.35244213	46.38		False
2459690.35238426	46.57		False
2459690.35232639	46.57		False
2459690.35226852	46.8		False
2459690.35221065	46.2		False
2459690.35215278	46.67		False
2459690.35209491	46.65		False
2459690.35203704	46.48		False
2459690.35197917	46.47		False
2459690.3519213	46.48		False
2459690.35186343	46.48		False
2459690.35180556	46.59		False
2459690.35174768	46.34		False
2459690.35168981	46.46		False
2459690.35163194	46.72		False
2459690.35157407	46.54		False
2459690.3515162	46.7		False
2459690.35145833	46.45		False
2459690.35140046	46.47		False
2459690.35134259	46.34		False
2459690.35128472	46.42		False
2459690.35122685	46.42		False
2459690.35116898	46.57		False
2459690.35111111	46.44		False
2459690.35105324	46.35		False
2459690.35099537	46.4		False
2459690.3509375	46.45		False
2459690.35087963	46.36		False
2459690.35082176	46.63		False
2459690.35076389	46.44		False
2459690.35070602	46.46		False
2459690.35064815	46.47		False
2459690.35059028	46.36		False
2459690.35053241	46.41		False
2459690.35047454	46.48		False
2459690.35041667	46.48		False
2459690.3503588	46.38		False
2459690.35030093	46.7		False
2459690.35024306	46.77		False
2459690.35018518	46.44		False
2459690.35012731	46.51		False
2459690.35006944	46.24		False
2459690.35001157	46.4		False
2459690.3499537	46.28		False
2459690.34989583	46.5		False
2459690.34983796	46.57		False
2459690.34978009	46.6		False
2459690.34972222	46.36		False
2459690.34966435	46.68		False
2459690.34960648	46.27		False
2459690.34954861	46.57		False
2459690.34949074	46.55		False
2459690.34943287	46.23		False
2459690.349375	46.42		False
2459690.34931713	46.78		False
2459690.34925926	46.53		False
2459690.34920139	46.51		False
2459690.34914352	46.39		False
2459690.34908565	46.51		False
2459690.34902778	46.5		False
2459690.34896991	46.3		False
2459690.34891204	46.56		False
2459690.34885417	46.72		False
2459690.3487963	46.39		False
2459690.34873843	46.54		False
2459690.34868056	46.58		False
2459690.34862268	46.4		False
2459690.34856481	46.57		False
2459690.34850694	46.51		False
2459690.34844907	46.31		False
2459690.3483912	46.29		False
2459690.34833333	46.28		False
2459690.34827546	46.45		False
2459690.34821759	46.21		False
2459690.34815972	46.39		False
2459690.34810185	46.49		False
2459690.34804398	46.59		False
2459690.34798611	46.53		False
2459690.34792824	46.43		False
2459690.34787037	46.45		False
2459690.3478125	46.37		False
2459690.34775463	46.3		False
2459690.34769676	46.5		False
2459690.34763889	46.33		False
2459690.34758102	46.21		False
2459690.34752315	46.42		False
2459690.34746528	46.29		False
2459690.34740741	46.49		False
2459690.34734954	46.46		False
2459690.34729167	46.6		False
2459690.3472338	46.46		False
2459690.34717593	46.63		False
2459690.34711806	46.24		False
2459690.34706019	46.29		False
2459690.34700231	46.43		False
2459690.34694444	46.23		False
2459690.34688657	46.41		False
2459690.3468287	46.62		False
2459690.34677083	46.47		False
2459690.34671296	46.4		False
2459690.34665509	46.72		False
2459690.34659722	47.29		False
2459690.34653935	46.67		False
2459690.34648148	46.36		False
2459690.34642361	46.42		False
2459690.34636574	46.39		False
2459690.34630787	46.23		False
2459690.34625	46.56		False
2459690.34619213	46.36		False
2459690.34613426	46.42		False
2459690.34607639	46.6		False
2459690.34601852	46.61		False
2459690.34596065	46.51		False
2459690.34590278	46.56		False
2459690.34584491	46.74		False
2459690.34578704	46.47		False
2459690.34572917	46.65		False
2459690.3456713	46.34		False
2459690.34561343	46.65		False
2459690.34555556	46.45		False
2459690.34549768	46.31		False
2459690.34543982	46.23		False
2459690.34538194	46.32		False
2459690.34532407	46.59		False
2459690.3452662	46.57		False
2459690.34520833	46.6		False
2459690.34515046	46.48		False
2459690.34509259	46.49		False
2459690.34503472	46.39		False
2459690.34497685	46.38		False
2459690.34491898	46.23		False
2459690.34486111	46.52		False
2459690.34480324	46.39		False
2459690.34474537	46.63		False
2459690.3446875	46.53		False
2459690.34462963	46.42		False
2459690.34457176	46.42		False
2459690.34451389	46.53		False
2459690.34445602	46.64		False
2459690.34439815	46.7		False
2459690.34434028	46.26		False
2459690.34428241	46.48		False
2459690.34422454	46.31		False
2459690.34416667	46.69		False
2459690.3441088	46.73		False
2459690.34405093	46.51		False
2459690.34399306	46.51		False
2459690.34393518	46.5		False
2459690.34387731	46.56		False
2459690.34381944	46.46		False
2459690.34376157	46.61		False
2459690.3437037	46.47		False
2459690.34364583	46.59		False
2459690.34358796	46.42		False
2459690.34353009	46.57		False
2459690.34347222	46.39		False
2459690.34341435	46.48		False
2459690.34335648	46.42		False
2459690.34329861	46.2		False
2459690.34324074	46.46		False
2459690.34318287	46.03		False
2459690.343125	46.24		False
2459690.34306713	46.58		False
2459690.34300926	46.6		False
2459690.34295139	46.27		False
2459690.34289352	46.59		False
2459690.34283565	46.44		False
2459690.34277778	46.25		False
2459690.34271991	46.12		False
2459690.34266204	46.21		False
2459690.34260417	46.36		False
2459690.3425463	46.4		False
2459690.34248843	46.47		False
2459690.34243056	46.37		False
2459690.34237268	46.49		False
2459690.34231481	46.41		False
2459690.34225694	46.5		False
2459690.34219907	46.3		False
2459690.3421412	46.74		False
2459690.34208333	46.09		False
2459690.34202546	46.81		False
2459690.34196759	46.35		False
2459690.34190972	46.41		False
2459690.34185185	46.31		False
2459690.34179398	46.63		False
2459690.34173611	46.66		False
2459690.34167824	46.62		False
2459690.34162037	46.62		False
2459690.3415625	46.4		False
2459690.34150463	46.3		False
2459690.34144676	46.36		False
2459690.34138889	46.42		False
2459690.34133102	46.59		False
2459690.34127315	46.38		False
2459690.34121528	46.45		False
2459690.34115741	46.26		False
2459690.34109954	46.6		False
2459690.34104167	46.36		False
2459690.3409838	46.52		False
2459690.34092593	46.51		False
2459690.34086806	46.51		False
2459690.34081019	46.48		False
2459690.34075231	46.33		False
2459690.34069444	46.45		False
2459690.34063657	46.39		False
2459690.3405787	46.7		False
2459690.34052083	46.27		False
2459690.34046296	46.3		False
2459690.34040509	46.53		False
2459690.34034722	46.65		False
2459690.34028935	46.34		False
2459690.34023148	46.53		False
2459690.34017361	46.38		False
2459690.34011574	46.59		False
2459690.34005787	46.54		False
2459690.34	46.43		False
2459690.33994213	46.55		False
2459690.33988426	46.25		False
2459690.33982639	46.7		False
2459690.33976852	46.16		False
2459690.33971065	46.34		False
2459690.33965278	46.5		True
2459690.33959491	46.46		True
2459690.33953704	46.54		True
2459690.33947917	46.43		True
2459690.3394213	46.47		True
2459690.33936343	46.5		True
2459690.33930556	46.6		True
2459690.33924769	46.53		True
2459690.33918981	46.7		True
2459690.33913194	46.66		True
2459690.33907407	46.58		True
2459690.3390162	46.69		True
2459690.33895833	46.52		True
2459690.33890046	46.4		True
2459690.33884259	46.57		True
2459690.33878472	46.61		True
2459690.33872685	46.61		True
2459690.33866898	46.42		True
2459690.33861111	46.65		True
2459690.33855324	46.37		True
2459690.33849537	46.54		True
2459690.3384375	46.48		True
2459690.33837963	46.6		True
2459690.33832176	46.59		True
2459690.33826389	46.33		True
2459690.33820602	46.42		True
2459690.33814815	46.46		True
2459690.33809028	46.66		True
2459690.33803241	46.35		True
2459690.33797454	46.39		True
2459690.33791667	46.45		True
2459690.3378588	46.38		True
2459690.33780093	46.59		True
2459690.33774306	46.49		True
2459690.33768518	46.64		True
2459690.33762732	46.71		True
2459690.33756944	46.63		True
2459690.33751157	46.55		True
2459690.3374537	46.4		True
2459690.33739583	46.62		True
2459690.33733796	46.74		True
2459690.33728009	46.61		True
2459690.33722222	46.52		True
2459690.33716435	46.56		True
2459690.33710648	46.67		True
2459690.33704861	46.4		True
2459690.33699074	46.57		True
2459690.33693287	46.55		True
2459690.336875	46.67		True
2459690.33681713	46.56		True
2459690.33675926	46.78		True
2459690.33670139	46.47		True
2459690.33664352	46.48		True
2459690.33658565	46.59		True
2459690.33652778	46.72		True
2459690.33646991	46.57		True
2459690.33641204	46.52		True
2459690.33634259	46.69		True
2459690.33628472	46.67		True
2459690.33622685	46.65		True
2459690.33616898	46.58		True
2459690.33611111	46.3		True
2459690.33605324	46.49		True
2459690.33599537	46.59		True
2459690.3359375	46.5		True
2459690.33586806	47.17		True
2459690.33581019	46.64		True
2459690.33575231	46.48		True
2459690.33569444	46.67		True
2459690.33563657	46.58		True
2459690.3355787	46.55		True
2459690.33552083	46.51		True
2459690.33546296	46.65		True
2459690.33539352	46.53		True
2459690.33533565	46.42		True
2459690.33527778	46.34		True
2459690.33521991	46.38		True
2459690.33516204	46.57		True
2459690.33510417	46.72		True
2459690.3350463	46.61		True
2459690.33498843	46.55		True
2459690.33491898	46.62		True
2459690.33486111	46.47		True
2459690.33480324	46.47		True
2459690.33474537	46.61		True
2459690.3346875	46.36		True
2459690.33462963	46.49		True
2459690.33457176	46.8		True
2459690.33451389	46.52		True
2459690.33444444	46.71		True
2459690.33438657	46.32		True
2459690.3343287	46.57		True
2459690.33427083	46.61		True
2459690.33420139	46.91		True
2459690.33414352	46.53		True
2459690.33408565	46.43		True
2459690.33402778	46.57		True
2459690.33396991	46.47		True
2459690.33391204	46.53		True
2459690.33385417	46.83		True
2459690.3337963	46.8		True
2459690.33372685	46.34		True
2459690.33366898	46.66		True
2459690.33361111	46.56		True
2459690.33355324	46.61		True
2459690.33349537	46.58		True
2459690.3334375	46.61		True
2459690.33337963	46.7		True
2459690.33332176	46.65		True
2459690.33325231	46.91		True
2459690.33319444	46.62		True
2459690.33313657	46.47		True
2459690.3330787	46.61		True
2459690.33300926	46.61		True
2459690.33295139	46.71		True
2459690.33289352	46.64		True
2459690.33283565	46.52		True
2459690.3327662	46.53		True
2459690.33270833	46.67		True
2459690.33265046	46.45		True
2459690.33259259	46.58		True
2459690.33252315	46.6		True
2459690.33246528	46.38		True
2459690.33240741	46.89		True
2459690.33234954	46.68		True
2459690.33228009	46.68		True
2459690.33222222	46.63		True
2459690.33216435	46.69		True
2459690.33210648	46.37		True
2459690.33203704	46.38		True
2459690.33197917	46.63		True
2459690.3319213	46.5		True
2459690.33186343	46.71		True
2459690.33179398	46.73		True
2459690.33173611	46.69		True
2459690.33167824	46.39		True
2459690.33162037	46.56		True
2459690.33155093	46.64		True
2459690.33149306	46.6		True
2459690.33143519	46.45		True
2459690.33137731	46.75		True
2459690.33131944	46.72		True
2459690.33126157	46.68		True
2459690.3312037	46.59		True
2459690.33114583	46.63		True
2459690.33107639	46.57		True
2459690.33101852	46.46		True
2459690.33096065	46.65		True
2459690.33090278	46.62		True
2459690.33083333	46.77		True
2459690.33077546	46.87		True
2459690.33071759	46.64		True
2459690.33065972	46.47		True
2459690.33059028	46.81		True
2459690.33053241	46.62		True
2459690.33047454	46.85		True
2459690.33041667	46.66		True
2459690.33034722	46.65		True
2459690.33028935	46.75		True
2459690.33023148	46.68		True
2459690.33017361	46.7		True
2459690.33011574	46.8		True
2459690.33005787	46.85		True
2459690.33	46.57		True
2459690.32994213	46.66		True
2459690.32987268	46.58		True
2459690.32981482	46.6		True
2459690.32975694	46.72		True
2459690.32969907	46.52		True
2459690.3296412	46.77		True
2459690.32958333	46.59		True
2459690.32952546	46.57		True
2459690.32946759	46.81		True
2459690.32939815	46.78		True
2459690.32934028	46.74		True
2459690.32928241	47.18		True
2459690.32922454	46.76		True
2459690.32916667	46.81		True
2459690.3291088	46.91		True
2459690.32905093	46.74		True
2459690.32899306	46.68		True
2459690.32893518	46.53		True
2459690.32887731	46.44		True
2459690.32881944	46.75		True
2459690.32876157	46.66		True
2459690.32869213	46.48		True
2459690.32863426	46.83		True
2459690.32857639	46.72		True
2459690.32851852	46.65		True
2459690.32846065	46.69		True
2459690.32840278	46.89		True
2459690.32834491	46.55		True
2459690.32828704	46.48		True
2459690.32821759	46.68		True
2459690.32815972	46.73		True
2459690.32810185	46.58		True
2459690.32804398	46.99		True
2459690.32798611	46.71		True
2459690.32792824	46.88		True
2459690.32787037	46.77		True
2459690.3278125	46.76		True
2459690.32774306	46.68		True
2459690.32768519	46.72		True
2459690.32762731	46.45		True
2459690.32756944	46.47		True
2459690.32751157	46.78		True
2459690.3274537	46.63		True
2459690.32739583	46.87		True
2459690.32733796	46.62		True
2459690.32728009	46.23		True
2459690.32722222	46.36		True
2459690.32716435	46.57		True
2459690.32710648	46.53		True
2459690.32703704	46.84		True
2459690.32697917	46.7		True
2459690.3269213	46.67		True
2459690.32686343	46.66		True
2459690.32680556	46.72		True
2459690.32674768	46.73		True
2459690.32668981	46.59		True
2459690.32663194	46.72		True
2459690.3265625	46.75		True
2459690.32650463	46.72		True
2459690.32644676	46.55		True
2459690.32638889	46.57		True
2459690.32633102	46.68		True
2459690.32627315	46.63		True
2459690.32621528	46.75		True
2459690.32615741	46.41		True
2459690.32608796	46.63		True
2459690.32603009	46.68		True
2459690.32597222	46.59		True
2459690.32591435	46.74		True
2459690.32584491	46.61		True
2459690.32578704	46.79		True
2459690.32572917	46.66		True
2459690.3256713	46.36		True
2459690.32561343	46.79		True
2459690.32555556	46.96		True
2459690.32549768	46.72		True
2459690.32543981	46.53		True
2459690.32538194	46.65		True
2459690.32532407	46.53		True
2459690.3252662	46.42		True
2459690.32520833	46.68		True
2459690.32513889	46.75		True
2459690.32508102	46.88		True
2459690.32502315	46.66		True
2459690.32496528	46.57		True
2459690.32489583	46.8		True
2459690.32483796	46.5		True
2459690.32478009	46.91		True
2459690.32472222	46.68		True
2459690.32465278	46.79		True
2459690.32459491	46.76		True
2459690.32453704	46.89		True
2459690.32447917	46.71		True
2459690.3244213	46.8		True
2459690.32436343	46.5		True
2459690.32430556	46.78		True
2459690.32424769	46.66		True
2459690.32417824	46.61		True
2459690.32412037	46.53		True
2459690.3240625	46.72		True
2459690.32400463	46.66		True
2459690.32393518	46.78		True
2459690.32387731	46.8		True
2459690.32381944	46.61		True
2459690.32376157	46.85		True
2459690.3237037	46.69		True
2459690.32364583	46.47		True
2459690.32358796	46.62		True
2459690.32353009	46.75		True
2459690.32346065	46.83		True
2459690.32340278	46.51		True
2459690.32334491	46.66		True
2459690.32328704	46.73		True
2459690.32321759	46.97		True
2459690.32315972	46.73		True
2459690.32310185	46.64		True
2459690.32304398	46.61		True
2459690.32297454	46.75		True
2459690.32291667	46.57		True
2459690.3228588	46.5		True
2459690.32280093	46.85		True
2459690.32274306	46.8		True
2459690.32268519	46.71		True
2459690.32262731	46.8		True
2459690.32256944	46.86		True
2459690.3225	46.87		True
2459690.32244213	46.62		True
2459690.32238426	46.76		True
2459690.32232639	46.87		True
2459690.32225694	46.73		True
2459690.32219907	47.16		True
2459690.3221412	46.65		True
2459690.32208333	46.61		True
2459690.32202546	46.64		True
2459690.32196759	46.84		True
2459690.32190972	46.71		True
2459690.32185185	46.83		True
2459690.32178241	46.63		True
2459690.32172454	46.7		True
2459690.32166667	46.64		True
2459690.3216088	47.18		True
2459690.32153935	46.64		True
2459690.32148148	46.78		True
2459690.32142361	46.83		True
2459690.32136574	46.92		True
2459690.32130787	46.64		True
2459690.32125	46.77		True
2459690.32119213	46.54		True
2459690.32113426	46.62		True
2459690.32107639	46.83		True
2459690.32101852	46.72		True
2459690.32096065	46.79		True
2459690.32090278	46.71		True
2459690.32083333	46.77		True
2459690.32077546	46.68		True
2459690.32071759	46.6		True
2459690.32065972	46.92		True
2459690.32059028	46.77		True
2459690.32053241	46.94		True
2459690.32047454	46.79		True
2459690.32041667	46.93		True
2459690.3203588	46.71		True
2459690.32030093	46.68		True
2459690.32024306	46.64		True
2459690.32018519	46.72		True
2459690.32011574	46.54		True
2459690.32005787	46.65		True
2459690.32	46.8		True
2459690.31994213	46.71		True
2459690.31987269	46.76		True
2459690.31981481	46.75		True
2459690.31975694	46.66		True
2459690.31969907	46.62		True
2459690.31962963	46.69		True
