JD	pressure		sunlit
2459690.36534722	1005.26		True
2459690.36528935	1005.27		True
2459690.36523148	1005.26		True
2459690.36517361	1005.26		True
2459690.36511574	1005.26		True
2459690.36505787	1005.25		True
2459690.36494213	1005.24		True
2459690.36488426	1005.28		True
2459690.36482639	1005.27		True
2459690.36476852	1005.26		True
2459690.36471065	1005.24		True
2459690.36465278	1005.26		True
2459690.36459491	1005.29		True
2459690.36453704	1005.26		True
2459690.36447917	1005.27		True
2459690.3644213	1005.31		True
2459690.36436343	1005.27		True
2459690.36430556	1005.3		True
2459690.36424769	1005.31		True
2459690.36418981	1005.31		True
2459690.36413194	1005.3		True
2459690.36407407	1005.3		True
2459690.3640162	1005.31		True
2459690.36395833	1005.35		True
2459690.36390046	1005.33		True
2459690.36384259	1005.34		True
2459690.36378472	1005.33		True
2459690.36372685	1005.32		True
2459690.36366898	1005.32		False
2459690.36361111	1005.31		False
2459690.36355324	1005.33		False
2459690.36349537	1005.33		False
2459690.3634375	1005.29		False
2459690.36337963	1005.31		False
2459690.36332176	1005.29		False
2459690.36326389	1005.3		False
2459690.36320602	1005.34		False
2459690.36314815	1005.32		False
2459690.36309028	1005.31		False
2459690.36303241	1005.28		False
2459690.36297454	1005.3		False
2459690.36291667	1005.33		False
2459690.3628588	1005.31		False
2459690.36280093	1005.32		False
2459690.36274306	1005.28		False
2459690.36268519	1005.32		False
2459690.36262731	1005.3		False
2459690.36256944	1005.33		False
2459690.36251157	1005.31		False
2459690.3624537	1005.31		False
2459690.36239583	1005.32		False
2459690.36233796	1005.34		False
2459690.36228009	1005.32		False
2459690.36222222	1005.28		False
2459690.36216435	1005.32		False
2459690.36210648	1005.33		False
2459690.36204861	1005.34		False
2459690.36199074	1005.34		False
2459690.36193287	1005.34		False
2459690.361875	1005.35		False
2459690.36181713	1005.37		False
2459690.36175926	1005.31		False
2459690.36170139	1005.32		False
2459690.36164352	1005.31		False
2459690.36158565	1005.31		False
2459690.36152778	1005.33		False
2459690.36146991	1005.33		False
2459690.36141204	1005.33		False
2459690.36135417	1005.32		False
2459690.3612963	1005.31		False
2459690.36123843	1005.33		False
2459690.36118056	1005.33		False
2459690.36112268	1005.31		False
2459690.36106481	1005.32		False
2459690.36100694	1005.32		False
2459690.36094907	1005.34		False
2459690.3608912	1005.35		False
2459690.36083333	1005.35		False
2459690.36077546	1005.34		False
2459690.36071759	1005.33		False
2459690.36065972	1005.34		False
2459690.36060185	1005.34		False
2459690.36054398	1005.34		False
2459690.36048611	1005.34		False
2459690.36042824	1005.3		False
2459690.36037037	1005.32		False
2459690.3603125	1005.32		False
2459690.36025463	1005.31		False
2459690.36019676	1005.33		False
2459690.36013889	1005.31		False
2459690.36008102	1005.33		False
2459690.36002315	1005.34		False
2459690.35996528	1005.35		False
2459690.35990741	1005.36		False
2459690.35984954	1005.35		False
2459690.35979167	1005.35		False
2459690.3597338	1005.31		False
2459690.35967593	1005.35		False
2459690.35961806	1005.34		False
2459690.35956018	1005.33		False
2459690.35950231	1005.34		False
2459690.35944444	1005.34		False
2459690.35938657	1005.34		False
2459690.3593287	1005.36		False
2459690.35927083	1005.35		False
2459690.35921296	1005.36		False
2459690.35915509	1005.3		False
2459690.35909722	1005.33		False
2459690.35903935	1005.39		False
2459690.35898148	1005.38		False
2459690.35892361	1005.37		False
2459690.35886574	1005.38		False
2459690.35880787	1005.38		False
2459690.35875	1005.37		False
2459690.35869213	1005.4		False
2459690.35863426	1005.4		False
2459690.35857639	1005.39		False
2459690.35851852	1005.38		False
2459690.35846065	1005.36		False
2459690.35840278	1005.37		False
2459690.35834491	1005.36		False
2459690.35828704	1005.37		False
2459690.35822917	1005.38		False
2459690.3581713	1005.37		False
2459690.35811343	1005.39		False
2459690.35805556	1005.38		False
2459690.35799768	1005.39		False
2459690.35793981	1005.36		False
2459690.35788194	1005.36		False
2459690.35782407	1005.33		False
2459690.3577662	1005.37		False
2459690.35770833	1005.35		False
2459690.35765046	1005.36		False
2459690.35759259	1005.37		False
2459690.35753472	1005.36		False
2459690.35747685	1005.4		False
2459690.35741898	1005.4		False
2459690.35736111	1005.37		False
2459690.35730324	1005.39		False
2459690.35724537	1005.36		False
2459690.3571875	1005.35		False
2459690.35712963	1005.38		False
2459690.35707176	1005.37		False
2459690.35701389	1005.38		False
2459690.35695602	1005.35		False
2459690.35689815	1005.35		False
2459690.35684028	1005.36		False
2459690.35678241	1005.38		False
2459690.35672454	1005.38		False
2459690.35666667	1005.38		False
2459690.3566088	1005.4		False
2459690.35655093	1005.39		False
2459690.35649306	1005.37		False
2459690.35643518	1005.35		False
2459690.35637731	1005.36		False
2459690.35631944	1005.39		False
2459690.35626157	1005.37		False
2459690.3562037	1005.39		False
2459690.35614583	1005.37		False
2459690.35608796	1005.31		False
2459690.35603009	1005.35		False
2459690.35597222	1005.35		False
2459690.35591435	1005.36		False
2459690.35585648	1005.35		False
2459690.35579861	1005.36		False
2459690.35574074	1005.38		False
2459690.35568287	1005.35		False
2459690.355625	1005.36		False
2459690.35556713	1005.39		False
2459690.35550926	1005.35		False
2459690.35545139	1005.36		False
2459690.35539352	1005.38		False
2459690.35533565	1005.4		False
2459690.35527778	1005.37		False
2459690.35521991	1005.38		False
2459690.35516204	1005.38		False
2459690.35510417	1005.4		False
2459690.3550463	1005.39		False
2459690.35498843	1005.41		False
2459690.35493056	1005.36		False
2459690.35487269	1005.37		False
2459690.35481481	1005.38		False
2459690.35475694	1005.36		False
2459690.35469907	1005.39		False
2459690.3546412	1005.38		False
2459690.35458333	1005.33		False
2459690.35452546	1005.32		False
2459690.35446759	1005.33		False
2459690.35440972	1005.3		False
2459690.35435185	1005.34		False
2459690.35429398	1005.3		False
2459690.35423611	1005.28		False
2459690.35417824	1005.3		False
2459690.35412037	1005.27		False
2459690.3540625	1005.3		False
2459690.35400463	1005.29		False
2459690.35394676	1005.3		False
2459690.35388889	1005.29		False
2459690.35383102	1005.25		False
2459690.35377315	1005.3		False
2459690.35371528	1005.28		False
2459690.35365741	1005.31		False
2459690.35359954	1005.28		False
2459690.35354167	1005.3		False
2459690.3534838	1005.29		False
2459690.35342593	1005.28		False
2459690.35336806	1005.34		False
