JD	temp_h		sunlit
2459690.36534722	44.12		True
2459690.36528935	44.14		True
2459690.36523148	44.21		True
2459690.36517361	44.03		True
2459690.36511574	44.07		True
2459690.36505787	44.05		True
2459690.36494213	44.1		True
2459690.36488426	44.14		True
2459690.36482639	44.1		True
2459690.36476852	44.01		True
2459690.36471065	44.1		True
2459690.36465278	44.03		True
2459690.36459491	44.1		True
2459690.36453704	44.14		True
2459690.36447917	44.03		True
2459690.3644213	44.17		True
2459690.36436343	44.1		True
2459690.36430556	44.05		True
2459690.36424769	44.12		True
2459690.36418981	44.19		True
2459690.36413194	44.03		True
2459690.36407407	44.08		True
2459690.3640162	44.05		True
2459690.36395833	44.1		True
2459690.36390046	44.17		True
2459690.36384259	44.01		True
2459690.36378472	44.23		True
2459690.36372685	44.17		True
2459690.36366898	44.1		False
2459690.36361111	44.19		False
2459690.36355324	44.21		False
2459690.36349537	44.03		False
2459690.3634375	44.19		False
2459690.36337963	44.14		False
2459690.36332176	44.17		False
2459690.36326389	44.1		False
2459690.36320602	44.05		False
2459690.36314815	44.03		False
2459690.36309028	44.1		False
2459690.36303241	44.08		False
2459690.36297454	44.19		False
2459690.36291667	44.08		False
2459690.3628588	44.16		False
2459690.36280093	44.05		False
2459690.36274306	44.17		False
2459690.36268519	44.14		False
2459690.36262731	44.16		False
2459690.36256944	44.07		False
2459690.36251157	44.08		False
2459690.3624537	44.03		False
2459690.36239583	44.1		False
2459690.36233796	44.21		False
2459690.36228009	44.1		False
2459690.36222222	44.12		False
2459690.36216435	44.19		False
2459690.36210648	44.16		False
2459690.36204861	44.14		False
2459690.36199074	44.12		False
2459690.36193287	44.1		False
2459690.361875	44.14		False
2459690.36181713	44.07		False
2459690.36175926	44.14		False
2459690.36170139	44.08		False
2459690.36164352	44.16		False
2459690.36158565	44.07		False
2459690.36152778	44.3		False
2459690.36146991	44.12		False
2459690.36141204	44.1		False
2459690.36135417	44.12		False
2459690.3612963	44.14		False
2459690.36123843	44.1		False
2459690.36118056	44.05		False
2459690.36112268	44.07		False
2459690.36106481	44.1		False
2459690.36100694	44.14		False
2459690.36094907	44.12		False
2459690.3608912	44.1		False
2459690.36083333	44.1		False
2459690.36077546	44.23		False
2459690.36071759	44.19		False
2459690.36065972	44.08		False
2459690.36060185	44.12		False
