NDVI;Number of pixels
0;12446
0.004;12446
0.008;16593
0.012;14493
0.016;12355
0.02;17185
0.023;14217
0.027;14834
0.031;15562
0.035;14328
0.039;21570
0.043;19270
0.047;17863
0.051;17499
0.055;19231
0.059;23555
0.062;19058
0.066;21207
0.07;22513
0.074;23285
0.078;22122
0.082;18923
0.086;16404
0.09;17939
0.094;15832
0.098;14165
0.102;17003
0.105;13689
0.109;12633
0.113;9124
0.117;7447
0.121;6370
0.125;5144
0.129;3294
0.133;2644
0.137;2093
0.141;1560
0.145;1323
0.148;885
0.152;648
0.156;506
0.16;393
0.164;345
0.168;222
0.172;353
0.176;310
0.18;196
0.184;233
0.188;298
0.191;216
0.195;286
0.199;290
0.203;448
0.207;303
0.211;451
0.215;350
0.219;377
0.223;368
0.227;411
0.23;280
0.234;397
0.238;470
0.242;424
0.246;364
0.25;516
0.254;451
0.258;281
0.262;293
0.266;122
0.27;39
0.273;43
0.277;8
0.281;6
0.285;2
0.289;1
0.293;1
0.297;0
0.301;0
0.305;1
0.309;0
0.312;0
0.316;0
0.32;0
0.324;0
0.328;0
0.332;0
0.336;0
0.34;0
0.344;0
0.348;0
0.352;0
0.355;0
0.359;0
0.363;0
0.367;0
0.371;0
0.375;0
0.379;0
0.383;0
0.387;0
0.391;0
0.395;0
0.398;0
0.402;0
0.406;0
0.41;0
0.414;0
0.418;0
0.422;0
0.426;0
0.43;0
0.434;0
0.438;0
0.441;0
0.445;0
0.449;0
0.453;0
0.457;0
0.461;0
0.465;0
0.469;0
0.473;0
0.477;0
0.48;0
0.484;0
0.488;0
0.492;0
0.496;0
0.5;0
0.504;0
0.508;0
0.512;0
0.516;0
0.52;0
0.523;0
0.527;0
0.531;0
0.535;0
0.539;0
0.543;0
0.547;0
0.551;0
0.555;0
0.559;0
0.562;0
0.566;0
0.57;0
0.574;0
0.578;0
0.582;0
0.586;0
0.59;0
0.594;0
0.598;0
0.602;0
0.605;0
0.609;0
0.613;0
0.617;0
0.621;0
0.625;0
0.629;0
0.633;0
0.637;0
0.641;0
0.645;0
0.648;0
0.652;0
0.656;0
0.66;0
0.664;0
0.668;0
0.672;0
0.676;0
0.68;0
0.684;0
0.688;0
0.691;0
0.695;0
0.699;0
0.703;0
0.707;0
0.711;0
0.715;0
0.719;0
0.723;0
0.727;0
0.73;0
0.734;0
0.738;0
0.742;0
0.746;0
0.75;0
0.754;0
0.758;0
0.762;0
0.766;0
0.77;0
0.773;0
0.777;0
0.781;0
0.785;0
0.789;0
0.793;0
0.797;0
0.801;0
0.805;0
0.809;0
0.812;0
0.816;0
0.82;0
0.824;0
0.828;0
0.832;0
0.836;0
0.84;0
0.844;0
0.848;0
0.852;0
0.855;0
0.859;0
0.863;0
0.867;0
0.871;0
0.875;0
0.879;0
0.883;0
0.887;0
0.891;0
0.895;0
0.898;0
0.902;0
0.906;0
0.91;0
0.914;0
0.918;0
0.922;0
0.926;0
0.93;0
0.934;0
0.938;0
0.941;0
0.945;0
0.949;0
0.953;0
0.957;0
0.961;0
0.965;0
0.969;0
0.973;0
0.977;0
0.98;0
0.984;0
0.988;0
0.992;0
0.996;0
